"","Team","FBS","ELO"
"502","St. Anselm",0,1200
"503","St. Augustine's",0,1200
"504","St. Francis (IL)",0,1200
"505","St. Francis (IN)",0,1200
"506","St. Joseph's (IN)",0,1200
"507","St. Paul's College",0,1200
"508","St. Peter's",0,1200
"509","St. Xavier (IL)",0,1200
"510","Stillman",0,1200
"511","Stonehill",0,1200
"512","Stonehill College",0,1200
"513","SUNY Maritime",0,1200
"514","Taylor",0,1200
"515","TBD",0,1200
"516","Texas A&M-Commerce",0,1200
"517","Texas A&M-Kingsville",0,1200
"518","Texas College",0,1200
"519","Texas Lutheran",0,1200
"520","Texas Wesleyan",0,1200
"521","Tiffin",0,1200
"522","Tiffin University",0,1200
"523","Trinity International (IL)",0,1200
"524","Truman State",0,1200
"525","Tusculum",0,1200
"526","Tuskegee",0,1200
"527","UNC Pembroke",0,1200
"528","Union College",0,1200
"529","University of Faith",0,1200
"530","University of Mary",0,1200
"531","University of Texas of the Permian Basin",0,1200
"532","Upper Iowa",0,1200
"533","Urbana",0,1200
"534","Ursinus",0,1200
"535","Ursinus College",0,1200
"536","UVA-Wise",0,1200
"537","UVA Wise",0,1200
"538","UW-Oshkosh",0,1200
"539","UW-Whitewater",0,1200
"540","Valdosta State",0,1200
"541","Virginia-Wise",0,1200
"542","Virginia Lynchburg",0,1200
"543","Virginia State",0,1200
"544","Virginia Union",0,1200
"545","Waldorf",0,1200
"546","Walsh",0,1200
"547","Warner",0,1200
"548","Washburn",0,1200
"549","Wayland Baptist",0,1200
"550","Wayne State (MI)",0,1200
"551","Wayne State (NE)",0,1200
"552","Webber International",0,1200
"553","Wesley College",0,1200
"554","West Alabama",0,1200
"555","West Chester",0,1200
"556","West Florida",0,1200
"557","West Georgia",0,1200
"558","West Liberty",0,1200
"559","West Texas A&M",0,1200
"560","West Virginia State",0,1200
"561","West Virginia Tech",0,1200
"562","West Virginia Wesleyan",0,1200
"563","Western Colorado",0,1200
"564","Western Connecticut State",0,1200
"565","Western New England",0,1200
"566","Western New Mexico",0,1200
"567","Western Oregon",0,1200
"568","Western State",0,1200
"569","Western State Colorado",0,1200
"570","Western Washington",0,1200
"571","Willamette",0,1200
"572","William Jewell College",0,1200
"573","William Penn",0,1200
"574","Wingate",0,1200
"575","Winona State",0,1200
"576","Winston-Salem",0,1200
"577","Wisconsin-Eau Claire",0,1200
"578","Wisconsin-La Crosse",0,1200
"579","Wisconsin-Platteville",0,1200
"580","Wisconsin-Stevens Point",0,1200
"581","Wisconsin Lutheran",0,1200
"582","Wittenberg",0,1200
"583","Wittenberg University",0,1200
"584","Worcester Polytechnic",0,1200
"585","WV State",0,1200
"586","WV Wesleyan",0,1200
"587","St. Thomas - Minnesota",0,1195.34898458161
"588","Louisiana Monroe",1208.55836561903,1237.39619826605
"589","San José State",0,1196.49104782388
